Frame,Phase,NbOfSpotDetected,SpLength,SpCenterX,SpCenterY,CellCenterToSpCenterAng,SpAngToMaj,SpCenterZ,CellCenterToSpCenterLen
0,Interphase,1,,,,,,,
1,Interphase,1,,,,,,,
2,Interphase,1,,,,,,,
3,Interphase,1,,,,,,,
4,Interphase,1,,,,,,,
5,Interphase,1,,,,,,,
6,Interphase,1,,,,,,,
7,Interphase,1,,,,,,,
8,Interphase,1,,,,,,,
9,Interphase,1,,,,,,,
10,Interphase,1,,,,,,,
11,Interphase,1,,,,,,,
12,Interphase,1,,,,,,,
13,Interphase,1,,,,,,,
14,Interphase,1,,,,,,,
15,Interphase,1,,,,,,,
16,Interphase,1,,,,,,,
17,Interphase,1,,,,,,,
18,Interphase,1,,,,,,,
19,Interphase,1,,,,,,,
20,Interphase,1,,,,,,,
21,Interphase,1,,,,,,,
22,Interphase,1,,,,,,,
23,Interphase,1,,,,,,,
24,Interphase,1,,,,,,,
25,Interphase,1,,,,,,,
26,Interphase,1,,,,,,,
27,Interphase,1,,,,,,,
28,Interphase,1,,,,,,,
29,Interphase,1,,,,,,,
30,Interphase,1,,,,,,,
31,Interphase,1,,,,,,,
32,Interphase,1,,,,,,,
33,Interphase,1,,,,,,,
34,Interphase,1,,,,,,,
35,Interphase,1,,,,,,,
36,Interphase,1,,,,,,,
37,Interphase,1,,,,,,,
38,Interphase,1,,,,,,,
39,Interphase,1,,,,,,,
40,Interphase,1,,,,,,,
41,Interphase,1,,,,,,,
42,Interphase,1,,,,,,,
43,Interphase,1,,,,,,,
44,Interphase,1,,,,,,,
45,Interphase,1,,,,,,,
46,Interphase,1,,,,,,,
47,Interphase,1,,,,,,,
48,Interphase,1,,,,,,,
49,Interphase,1,,,,,,,
50,Interphase,1,,,,,,,
51,Interphase,1,,,,,,,
52,Interphase,1,,,,,,,
53,Interphase,1,,,,,,,
54,Interphase,1,,,,,,,
55,Interphase,1,,,,,,,
56,Interphase,1,,,,,,,
57,Interphase,1,,,,,,,
58,Interphase,1,,,,,,,
59,Interphase,1,,,,,,,
60,Interphase,1,,,,,,,
61,Interphase,1,,,,,,,
62,Interphase,1,,,,,,,
63,Interphase,1,,,,,,,
64,Interphase,1,,,,,,,
65,Interphase,1,,,,,,,
66,Interphase,1,,,,,,,
67,Interphase,1,,,,,,,
68,Interphase,1,,,,,,,
69,Interphase,1,,,,,,,
70,Interphase,1,,,,,,,
71,Interphase,1,,,,,,,
72,Interphase,1,,,,,,,
73,Interphase,1,,,,,,,
74,Interphase,1,,,,,,,
75,Interphase,1,,,,,,,
76,Interphase,1,,,,,,,
77,Interphase,1,,,,,,,
79,Interphase,1,,,,,,,
80,Interphase,1,,,,,,,
81,Interphase,1,,,,,,,
82,Interphase,1,,,,,,,
84,Interphase,1,,,,,,,
85,Interphase,1,,,,,,,
86,Interphase,1,,,,,,,
87,Interphase,1,,,,,,,
88,Interphase,1,,,,,,,
